教室,月1,月2,月3,月4,月5,火1,火2,火3,火4,火5,水1,水2,水3,水4,水5,木1,木2,木3,木4,木5,金1,金2,金3,金4,金5
121,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,×,×,×,×,×
131,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,×,×,〇
132,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,×,×,〇,〇
133,〇,〇,×,×,〇,〇,×,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,×,×,〇,〇
231,〇,×,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,×,×,×,〇
232,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,×,×,×
233,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,×,×
234,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,×,×,×,×
321,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,×,×,〇
322,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇
331,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,×,×,×,〇
332,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,×,×,〇
341,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,×,〇
342,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,×,×,〇
641,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,×,×,〇
642,〇,〇,〇,〇,〇,×,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,×,〇,〇,〇,〇
643,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,〇,×,〇,〇
